userid,challengeone,challengetwo,challengethree,evaluatemarketsize,evaluateprofitability,evaluatesocialimpact,evaluatevalidation,evaluaterelationships,evaluatepassionskillset,evaluateaccessfinancing,evaluateregulatory,environmentalimpact,consideredclimatetech,whyclimatetech,currentclimatetech,yescurrentclimatetech,opportunitiesclimatetech,attractiveclimatetech,last_updated,last_retrieved
2c3fbdda-2e1e-4c66-8164-7926efd9903f,Financial,Management challengess,Investor,5,5,5,5,2,5,5,5,no,no,No answer,no,,Not aplicable,Mentorship,,2016-10-27 11:00:44.095248896
2e19730f-965a-45c0-ba95-139e633cfb5f,Capital,Connections,Government suport,4,4,5,5,4,5,5,5,no,no,I'm not interested,no,,Not sure,Invest some funds for education,,2016-10-27 11:00:44.452176896
2e1ccc82-cd72-464c-ba75-1e614c44ab33,Coruption,Connections,Too much   Bereucracy,5,4,5,4,5,5,5,5,yes,yes,As it gonna give me revenue as well as improve life of animals,no,,Revenue and eco system improvement if managed well,Community sensitization and funding,,2016-10-27 11:00:44.591563008
2e2ebc7e-95dd-493e-a9cc-4f4acf496322,Market Price Fluctuation,Payment Gateways,Funds,4,4,5,5,5,5,4,5,no,no,Because it need funds.,no,,Improvement of Eco system,Financial,,2016-10-27 11:00:45.695768064
2eced606-fe98-4806-bc14-80a92a7d56bb,High prices in rent,Getting the right employees who understand the vision of the company and want to do more than their job duties,Raising capital,5,4,5,4,5,5,4,4,no,no,No compatibility,no,,Apps for weather forecasts and mapping apps,financial support,,2016-10-27 11:00:45.890740992
30bde91f-57fd-40df-a743-e5872824f23e,Financing gaps,working in a male dominated field,n/a,4,5,5,5,5,5,5,5,yes,no,Not passionate about it,no,,Can't say I pay attention to it.,n/a,,2016-10-27 11:00:48.033046016
30c768ea-7ee3-47e2-8a9f-e24b6e5be6ad,Technology content,Television Airtime,Technology barrier,5,4,4,3,5,4,4,3,no,no,Never saw an opportunity there,no,,None,n/a,,2016-10-27 11:00:48.222987008
31aa72b2-1de5-4e48-a6a8-2f4d9427ef5b,Finance,public awarenes,public awarenes,4,4,4,4,4,4,4,4,yes,yes,yes,no,,solve community problems,business incubation,,2016-10-27 11:00:48.771937024
32c73fcf-f803-4240-9691-5b0743e48e18,Low demand of services due to economic downturn,Funding,n/a,4,5,5,5,5,5,5,5,yes,yes,I am concerned about the environment,yes,energy saving products,green energy,incubation,,2016-10-27 11:00:49.441058048
3450c89b-7ca0-4c7f-9ac0-7b5331c52be2,Capital,Bureaucracy,Sipport,3,3,4,4,4,4,4,4,yes,yes,I have a passion of doing it,yes,we use devices that are environmental friendly,A lot,Financial,,2016-10-27 11:00:51.923734016
34a57f2c-918d-4a58-aafd-92f295faf87f,Office,Marketing,Fund,5,3,5,5,5,5,4,5,yes,no,I have no idea,yes,we look at different business opportunities everywhere,Agriculture,Business Incubation,,2016-10-27 11:00:52.203834880
35721ed3-24de-4778-b09d-e46afff5f6dd,Connections,Fund,Technology,5,5,3,4,4,4,4,4,yes,yes,Would love to change the world,no,,change peoples lives,"Financial, Mentorship",,2016-10-27 11:00:53.746377984
35826031-6e9f-4670-918d-1aa068fa1aff,Govement tariffs are too much,Funds,reliable power sourse,4,4,5,4,5,5,5,4,no,no,funds and interest,no,,no ideas,funding and education,,2016-10-27 11:00:53.994323968
3584131f-9d40-4846-b91a-220494448812,Funding,System of payment among advertisers,n/a,5,5,5,5,5,5,5,5,no,no,Never thought of it,no,,n/a,n/a,,2016-10-27 11:00:54.152758016
35cb5d15-0ba4-4426-a4eb-49884d0e7ced,Access to finance,Getting schools to join our platform,Technology adaption,5,5,5,5,5,5,5,4,no,no,Our focus is on education,no,,none,n/a,,2016-10-27 11:00:54.448434944
3913cc8b-1369-4fc9-a3d3-f9cc20b97ef1,,,,,,,,,,,,,,,,,,,,2016-10-27 11:00:55.088108032
39638c24-9ad0-48bf-a267-68069ee2b97a,Getting a quality team,Long process of formalizing a business,Marketing,4,4,5,5,4,5,5,5,yes,no,I dont really know much about it,no,,Recycling,"Business incubation, education",,2016-10-27 11:00:55.416555008
3972b9f3-d109-4fed-a8d7-23f0f1c47ff4,technical difficulty,Finance,administration,5,5,5,5,5,5,4,5,yes,yes,Financial impact,no,,NO,mentorship,,2016-10-27 11:00:55.881977088
3993598a-87b2-443a-ab7c-678c989c4ad4,Getting a line of credit,Obtaining Office space,Advertising,5,3,4,5,4,5,4,5,yes,no,Out of scope,no,,--,Mentorship,,2016-10-27 11:00:56.243480064
3a201f34-490a-4a7e-9f5a-926e846c8886,"""Connections
""",funding,Market for the products,4,5,5,4,5,5,5,4,no,no,no skills set on it,no,,climate tech can bring in to innovation of new solutions those might provide employment,sensitizing and keeping environmental education as compulsory subject,,2016-10-27 11:00:56.508313088
3a966c06-cc5d-4187-aa8d-8b3463d56a9b,Getting the right partners,Having the right team,Funding,4,5,5,5,4,5,4,5,yes,yes,Because farmers in my hometown are often cheated when they sell their produce,no,,Offering support to farmers,financial support,,2016-10-27 11:00:56.725143040
3f5f4483-47a8-44b9-992a-3d47ee01bc1c,Getting the right software for content development,Creating a system for operations,Funds,5,5,5,4,5,5,5,4,yes,yes,I need a business that is more environmental friendly,yes,we meet and discuss a little bit about the environment and how we take care of it,There is a lot of room to using education to spread knowledge and information on the great potential of climate tech sector.,Business incubation,,2016-10-27 11:00:58.596282880
408d8ffe-7972-4f61-8f53-89abfadb3719,"Funding,","Taxes,",Overheads,5,5,3,5,5,5,3,5,yes,no,its the future of very self existance,yes,self existance,Avoiding traveling by online collaboration shall serve the planet from CO,"Financial, Mentorship",,2016-10-27 11:00:59.370936064
40fac33e-b5bc-4feb-a7c3-8e0fb27f7388,Technology (power and internet connection and cost) funds,consumer tech literacy rate.,availability of payment gateways.,5,5,5,5,5,5,5,5,yes,no,focus on my core activity (business IT),no,,"Employment, and improvement of ecology",Funding for technology and expansion.,,2016-10-27 11:00:59.834336000
434b0a4f-3fb1-43d2-8b4d-ac2ebf47de9d,Experience,Expertise,Commitment,3,3,5,3,3,5,3,3,yes,,,,,,,,2016-10-27 11:01:00.582564096
445f04ed-ff56-4df1-9454-e2a78707168e,government support,funding,Community awareness of what we are doing,5,5,4,5,5,5,4,4,no,no,For now we are doing or focusing on education,no,,There is a lot of opportunities such as tourism sector,Business incubation and mentorship,,2016-10-27 11:01:00.876698880
45d9c126-e436-404c-943e-fe382bd57c1f,Taxation and laws governing filing of taxes are not readily available and friendly for the startup scene. Hiring services for filing taxes is expensive and difficult to find one that can help a startup.,Investment: Finding of capital to accommodate the running expenses of the business at start is the biggest challenge of them all. Marketing costs and operational costs become difficult to maintain hence the hiccups and obstacles and delays in launching of the startup or its product. Renting of office space to establish a brand. Only until recently office space has been readily available and affordable for startups to rent for less than 3 month advance payments.,"Networking: in many occasions, startups in Tanzania unless housed at the few existing hubs, have little to no access to programs inside and outside of Tanzania that can help them get funding or participate in competitions.",5,5,4,5,5,5,5,5,yes,no,lack of data to understand how a tech product can penetrate the market,no,,"mobile apps, informational platforms and data visualization",business incubation and financial,,2016-10-27 11:01:01.164162048
488e49d7-30f5-4613-b2e0-edb791ed4771,Lack of  Funding,Hard working and Inspired people to work with.,"Operation Expenses i.e Internet, communication, office eqipments and electricity",5,5,5,5,5,5,5,5,yes,no,"The environment around Mwanjelwa, Mbeya has high production of west materials than the west disposals area can handle but too bad, My Field doesn't deal with Climate Tech.",no,,no,Business incubation,,2016-10-27 11:01:02.346244096
4b7695be-13c0-40d0-85ba-7353e6bca8bd,Support from my circle for my business,Getting skilled people,Equipment is expensive,4,5,4,4,4,5,5,4,yes,no,I have not thought about it,no,,I see an opportunity in the alternative energy sector,Business incubation,,2016-10-27 11:01:03.567827968
4d9b5274-2669-4dd9-b1d8-dba96977a355,"Access to financing, is a challenge, especially for startups","Buyers are not certain of the Quality of honey, and another problem is quantity, as small farmers are just producing small quantity","Packaging, its not easy to get quality packaging in Tanzania",4,5,5,4,4,5,5,5,yes,yes,- Its important to use the technology as it provides accurate data for a less time and resources,yes,"My organization is actively engaging with technology and looking at ways to help the process, for example for the use of mobile app to track beehives","There is a need for mobile processing plants, and also easy technologies, that will be used in our environment. A testing facility will also be handy for the sector",FInancial is very important,,2016-10-27 11:01:04.351405056
4e51529a-4ba7-444b-a0fb-7b9efe92c83e,Missing government support,Capital,Time management,5,5,5,4,5,5,3,5,yes,yes,Its a,no,,a,business incubation,,2016-10-27 11:01:05.172133120
4ec687f9-536e-433a-a85f-861464142d01,1. Growing Our Clients Base.,2. Growing The Scale Of Our Operations.,3. Finding The Right Companies To Partner With.,5,5,5,4,4,5,4,4,yes,no,I Love Advertising Industry,no,,May Be Renewable Energy. But am not really into that.,Advertising,,2016-10-27 11:01:05.528165888
50bb4709-a444-4151-aed0-c7f956b836ec,small government support,funds,market penetration,5,5,5,5,5,5,5,5,no,no,Not atractive,no,,if promoted proper may help to improve Eco system,mentorship and funding,,2016-10-27 11:01:06.075002112
50c42889-40cf-4137-bd6f-bf30aeb3be80,Business registration and getting TFDA's approval takes too long,Setting up a proper team that believes in your vision,n/a,4,5,5,5,4,5,5,5,yes,yes,I have experienced the impacts of climate change,yes,n/a,Bio-recycling,Financial support,,2016-10-27 11:01:06.357195008
52379965-0fd2-4f2b-9bb7-93bcd1dadc44,"Delivering to customers,",Power for storage,", Marketing Cost",4,5,4,5,5,5,5,5,yes,yes,"It important to serve the generation,  make green evolution.",yes,"Food from tree, Free air, green flower beauty improvement.","climate tech as recycling give employment, serve the community, and improve well being","I shall invest in planting trees, changing the remains from processed food  to animal feeds instead of wasting",,2016-10-27 11:01:07.139959040
529efef2-8783-48c4-ae3b-58e990a42809,Getting the right skilled people in my field of business.,Lack of motivation from employees,There is a lot of bureaucracy and corruption in the tendering business. So it is challenging to get tenders even when we score highly in the qualification.,5,5,4,5,5,5,4,4,yes,yes,There is a huge need for climate tech both in urban and rural areas,no,,I see an opportunity to developing systems and platforms that cater for the climate tech sector.,Business incubation and mentorship,,2016-10-27 11:01:07.394213120
5614c316-a92c-44ec-8a6c-8ca20b580bad,Customers do not understand the process of animation,Funding,Shortage of animation skills in Tanzania,5,5,5,5,5,5,5,5,yes,no,Not in my line of interest,no,,Recycling,business incubation,,2016-10-27 11:01:07.805528064
56552c78-e8a8-4cd9-8bf7-ad4f0afd3e68,marketing my business,small capital,minimize opex,5,5,4,4,5,4,4,4,yes,no,i didnt think about it,no,,due to growth of technology i can create many jobs to my fellow tanzanian through climate tech sector.,financial and mentorship,,2016-10-27 11:01:08.615876096
57e2a843-933a-4866-b935-05e02c546061,"The government, treats a startup as a fully operation company in terms of filing returns,tax,auditing etc","Access to Capital, and finance, currently not easy way to access finance",Markets,4,4,5,4,5,0,4,0,no,no,Have not seen any opportunities in that sector yet,no,,"Untouched in our country, so will be a good consideration.",Mentorship & business incubation,,2016-10-27 11:01:09.542320128
58e40cbd-6152-4e19-98da-446dd056d249,,,,,,,,,,,,,,,,,,,,2016-10-27 11:01:10.503321088
5a20d304-5226-4363-a2e9-0b814f23ee0d,Creating technology,Marketing,Launching the app abiding legal conditions,5,4,5,3,4,5,2,4,no,no,I don't have much knowledge over it,no,,Environmental stability,Tourism,,2016-10-27 11:01:10.865533952
5aa00c8c-f5f3-4e9b-b139-da7977ddf9cc,Underestimating my skills due to my age,The unprofessional environment,Lack of passion from partners we collaborate with,5,4,4,1,5,4,4,3,yes,yes,I would like to be involved in a technology that is more involved in giving back to the environment than take from it,no,,I see an opportunity in the solar industry especially. Alternative energy is the future to power and conserving our environment.,Business incubation,,2016-10-27 11:01:11.012325120
5b29bfc5-8347-482a-8f1c-cbf87e1acf9d,"1.Capital, Material, working materials,","2.market (advertising),",3. Connections,5,4,3,5,2,5,3,4,yes,yes,"The word is changing , growth of technology, Service",yes,no idea,"If you analyse problems, you will work hard and come up with solutions that might be a product/service to the community/society","Financial, Mentorship,",,2016-10-27 11:01:11.297111040
5dcd9b93-c907-4806-8ab5-101fbefffd36,connection,Unstable Policy,government support is really poor,4,4,5,5,5,5,5,5,no,no,Knowledge and Funds,no,,all our booking are automated reducing manual works,employment and improvement of world nature,,2016-10-27 11:01:12.092327936
5e1f0be7-1629-499f-b84b-a400a5a5b6e6,Get expert developers,Getting investors,Working in a team,5,0,5,5,5,5,5,3,no,no,Cause it does not impact our community at large scale,no,,Agriculture,availability of material and tech equipment that will support agricultureno,,2016-10-27 11:01:12.274916096
60ac8dc4-f230-4bc9-bf94-185db3732f26,connection,Tools(funds),Competent labor,5,5,5,5,5,5,5,5,yes,no,I don have passion on it,no,,none,Improve life  to the environmental workers,,2016-10-27 11:01:14.410384896
6133b1a6-15fd-4c52-98ba-76d31b97b5f0,Managing day to day office operation costs,engaging new clients thrpough various sales & marketing strategies,penetration into big organizations and the government as our clients,5,4,4,5,5,5,5,5,yes,yes,Because it is a sector that can get easy support from government & international organizations.,no,,"alot, as the government and many international organisation highly support this",mentorship & financial,,2016-10-27 11:01:14.710409984
656ad602-6dd3-4799-b943-a14f254eb9fd,Connection with other IT Programmes in Arusha,Loans and Access to Credit,Collateral for loan,5,5,5,4,4,5,4,5,no,yes,Climate Change is affecting the world,no,,SMS app that teach agriculture advice and Weather prediction as weather patterns have changed,n/a,,2016-10-27 11:01:15.934631936
65fc4d04-a8d2-4536-8875-e8da5d113159,Suppliers,Bereucracy,Market,5,5,5,5,5,5,5,5,no,no,I  dont have knowledge with it,yes,We produce automated product those remove /reduce waste,"lot, food, revenue and fresh air",sensitization and funding,,2016-10-27 11:01:16.208805120
66f01026-df7e-42df-9301-ce525d685bc0,workimg capital,n/a,n/a,5,5,5,5,5,5,5,5,no,no,no interest,no,,no,no,,2016-10-27 11:01:16.875486976
6a215820-f96e-4cdd-baa6-c080235b6f46,Lack of financing for viable project due to lack of collateral's.,Limited Business network and connection which impact limited market link,Limited of value added technology such as machine,5,4,5,4,5,5,5,4,no,yes,The obstacle was the limit of resource,no,,The is a need of climate and weather record so as to be used in weather Index Insurance,Financial,,2016-10-27 11:01:18.226291968
6d8707bb-3d04-48f7-aa59-ed8ede4ee327,connection,capital,government support,5,5,4,5,5,4,5,5,yes,yes,because there is big challenge of climate change in our country,no,,untouched in our country,financial,,2016-10-27 11:01:20.211272960
6db59e70-b9d0-459a-b812-bb18b66eec66,Lack of enough capital,unreliable employees,Poor Government support,5,3,5,4,5,5,4,4,yes,no,Not interested,no,,I don't have much knowledge upon climate tech,incubation,,2016-10-27 11:01:20.402131968
6db7bad5-faef-4e9f-8275-054e31a5471f,high budget to do research about the new product,hard to find engineers and sales work together to decide what to build it needs  a  lot of Money and as a startup you can not afford,"Lack of Good government Policy to support Private Sector especially Entrepreneurs, get tax redemption may be 6 month period we will survive long to the market and generate the most promising companies to the country and to the universe!",3,3,4,5,4,4,4,5,yes,yes,Preserving beach and oceanic environment against sewage disposal,no,,we can create a massive energy and revolutionary products based on the waste that we dump,"business incubation, Banks and Crowd Funding Campaign like Indiegogo",,2016-10-27 11:01:20.737959936
71907423-0f0e-48b2-a285-fa2c60f76292,Reliable local payment gateways,Funds,connection,5,5,5,5,5,5,5,5,yes,yes,Its MY intrinsic desire,no,,"improve life standard , a preserve nature",Environmental education programs and financial facilitation,,2016-10-27 11:01:22.129853952
7306136d-bf62-45a1-baf3-ee203de940a9,"Taxes is a challenge in Tanzania, especially the newly imposed taxes that the government has imposed on electronics and computers","Government processes and regulations, is a challenge, they are very slow, and most of the time, there is no clear process to follow.","Financing is also a challenge in Tanzania, accessing reliable financing, is a challenge for a company in Tanzania",4,4,5,4,5,5,5,5,yes,yes,"Currently I am collecting loads of ewaste materials, and thinking of opportunities for ways to reuse them in a proper way",no,,Recycling is one opportunity,"Financial, and Mentorship",,2016-10-27 11:01:22.723468032
74a455af-550e-440d-a20d-07d888bf74cf,Bureaucracy,Getting skilled labour,Getting credit for business,5,5,5,5,5,5,5,5,yes,no,I have not thought about it,yes,We help prevent the use of paper through our ventures,There is an opportunity in the alternative energy sector,More skills and mentorship programs should be developed.,,2016-10-27 11:01:23.512749056
779b0237-8824-4499-bbd3-7ac20e0210b1,Working space,Funds for marketing and operational costs,Funds for Launching the product,5,4,4,4,4,4,5,4,no,no,Don't have interest in that sector,no,,None observed,n/a,,2016-10-27 11:01:24.840518912
79d95f33-bacf-410f-b74d-54a17d5f2f71,Getting fund is a big challenge that I face.,Lack of perfect skilled people or employees,Market to the product that I have,4,5,4,4,4,5,4,4,no,yes,In order to protect the climate because for now the climate is changing that makes some period to experience of what was not experienced for example floods or long period of dryness.,no,,Introducing different platforms that could help people to know and to report if they may experience drought or floods,"Incubation, in order to help starturps in solving the community problems",,2016-10-27 11:01:25.139604992
7a6686f4-28f7-46ea-b619-33239242c9bc,Finances,Content,Connections,4,4,5,5,5,4,5,5,no,no,Not related to what we are doing,no,,None,n/a,,2016-10-27 11:01:25.493553920
7c71c474-f1d5-42b0-9d8f-404a54ca9613,"Our  bussiness is B2B ,length process of getting a single customer is a major challenge",Tendering Procedures in Government,some private organisation do not favor startups,5,5,5,3,5,5,5,5,yes,no,Its not in my focus currently and it have limited opportunities based on time to boom,no,,"software development , and hardware intergration",business incubation and mentorship,,2016-10-27 11:01:26.463616000
7cd01aa0-ecbc-4000-a7b2-c418d1864dbe,,,,,,,,,,,,,,,yes,,,,,2016-10-27 11:01:26.958437888
7d3814bd-3402-4435-b247-cc8dc0543c5d,Funding,Risks,none,5,4,4,5,5,5,5,5,yes,yes,Want to play my part but also because the person I look upto Elon Musk is in climate tech,yes,none,Renewable energy,"subsidies, mentorship",,2016-10-27 11:01:27.126758912
7e1ce8ae-c404-4ca1-b744-a0d87f079da1,Lack of Talent,Access to Line of Credit,Lack of confidence in local talents/companies,5,4,4,3,4,3,5,3,yes,no,I am not aware of opportunities in climate technologies,no,,I am not sure,not sure,,2016-10-27 11:01:27.600196096
7f39e304-610d-4203-b82d-5f8b8413e728,Age- I can't represent my company without my dad because I am under 18,n/a,n/a,5,5,5,4,5,4,3,5,yes,yes,It will have an impact on the environment and the climate itself,yes,we are also concern with the environment so we also incourage people to love and care for the environment and also we ourselves try to look at different way to protect the environment in our meetups,"Educating people on saving the climate, creating apps on climate education",Mentorship,,2016-10-27 11:01:28.001166080
818b86b4-6041-4e9e-921f-836c4303f39e,Getting a line of credit and capital,"Getting technicians who want to learn, most of them concentrate on money",Getting projects,5,4,4,4,4,4,4,4,yes,no,Not of interest,no,,none,n/a,,2016-10-27 11:01:29.383428096
